PromotionID,PromotionName,DiscountPct,StartDate,EndDate,Type,Category,Subcategory,MinQty,MaxQty,Budget
368,PromotionName_0,0.05,2022-10-29,2022-01-11,Type_0,Category_0,Subcategory_0,MinQty_0,MaxQty_0,Budget_0
179,PromotionName_1,0.16,2022-09-11,2022-04-14,Type_1,Category_1,Subcategory_1,MinQty_1,MaxQty_1,Budget_1
438,PromotionName_2,0.12,2022-06-02,2022-04-11,Type_2,Category_2,Subcategory_2,MinQty_2,MaxQty_2,Budget_2
196,PromotionName_3,0.09,2022-05-27,2022-10-01,Type_3,Category_3,Subcategory_3,MinQty_3,MaxQty_3,Budget_3
965,PromotionName_4,0.06,2022-10-30,2022-05-05,Type_4,Category_4,Subcategory_4,MinQty_4,MaxQty_4,Budget_4
988,PromotionName_5,0.19,2022-10-12,2022-04-25,Type_5,Category_5,Subcategory_5,MinQty_5,MaxQty_5,Budget_5
288,PromotionName_6,0.06,2022-08-24,2022-12-11,Type_6,Category_6,Subcategory_6,MinQty_6,MaxQty_6,Budget_6
542,PromotionName_7,0.02,2022-07-10,2022-07-28,Type_7,Category_7,Subcategory_7,MinQty_7,MaxQty_7,Budget_7
447,PromotionName_8,0.13,2022-11-29,2022-05-10,Type_8,Category_8,Subcategory_8,MinQty_8,MaxQty_8,Budget_8
197,PromotionName_9,0.11,2022-07-11,2022-02-27,Type_9,Category_9,Subcategory_9,MinQty_9,MaxQty_9,Budget_9
