SalesOrderID,CustomerID,ProductID,OrderDate,DueDate,ShipDate,SalesAmount,TaxAmt,Freight,Discount,PromotionID
800,891,446,2022-03-11,2022-10-25,2022-11-08,21.13,TaxAmt_0,Freight_0,Discount_0,948
191,838,307,2022-02-13,2022-09-05,2022-08-10,600.24,TaxAmt_1,Freight_1,Discount_1,430
793,27,292,2022-11-30,2022-11-03,2022-09-25,971.74,TaxAmt_2,Freight_2,Discount_2,331
422,189,518,2022-10-22,2022-05-18,2022-01-01,130.71,TaxAmt_3,Freight_3,Discount_3,864
716,833,544,2022-07-15,2022-05-19,2022-10-24,720.35,TaxAmt_4,Freight_4,Discount_4,486
207,620,352,2022-03-17,2022-12-21,2022-08-20,487.29,TaxAmt_5,Freight_5,Discount_5,966
721,748,832,2022-07-12,2022-05-15,2022-02-25,450.54,TaxAmt_6,Freight_6,Discount_6,201
575,60,895,2022-06-26,2022-09-02,2022-12-22,295.05,TaxAmt_7,Freight_7,Discount_7,951
806,30,572,2022-05-31,2022-03-08,2022-06-20,530.28,TaxAmt_8,Freight_8,Discount_8,689
453,230,655,2022-07-03,2022-05-27,2022-03-06,714.49,TaxAmt_9,Freight_9,Discount_9,466
