SalesOrderID,ResellerID,EmployeeID,ProductID,OrderDate,DueDate,ShipDate,SalesAmount,TaxAmt,Freight,Discount
348,139,116,50,2022-01-18,2022-07-11,2022-04-17,835.1,TaxAmt_0,Freight_0,Discount_0
785,71,400,586,2022-09-16,2022-06-02,2022-05-16,534.87,TaxAmt_1,Freight_1,Discount_1
103,513,563,384,2022-12-19,2022-03-25,2022-08-23,81.08,TaxAmt_2,Freight_2,Discount_2
665,56,455,875,2022-03-03,2022-12-24,2022-02-05,34.76,TaxAmt_3,Freight_3,Discount_3
164,888,982,862,2022-09-04,2022-09-29,2022-06-07,316.92,TaxAmt_4,Freight_4,Discount_4
337,18,796,594,2022-03-03,2022-05-29,2022-01-27,356.12,TaxAmt_5,Freight_5,Discount_5
623,989,820,386,2022-04-27,2022-11-19,2022-11-27,833.3,TaxAmt_6,Freight_6,Discount_6
648,322,220,84,2022-01-11,2022-09-16,2022-05-09,397.22,TaxAmt_7,Freight_7,Discount_7
197,432,231,652,2022-10-17,2022-08-21,2022-06-20,928.09,TaxAmt_8,Freight_8,Discount_8
361,353,425,433,2022-09-25,2022-05-27,2022-05-28,348.05,TaxAmt_9,Freight_9,Discount_9
